ticks,seconds,ball_x,presser,path_m,net_m,any_engaged
26,1.04,92.41950576923077,Away_22,7.317143925172427,7.250801534754612,True
18,0.72,57.76114166666667,Away_19,3.7223220100646457,3.7155813210855793,True
33,1.32,68.54536818181819,Away_24,2.72350340775525,2.505353979480748,True
25,1.0,85.09376400000001,Away_19,3.8430214368274616,3.842109741743451,True
8,0.32,80.9573625,Away_21,0.8551365383013784,0.8545368711178996,True
45,1.8,82.81763,Away_20,7.303839331442111,7.03528060020352,True
9,0.36,99.62225,Away_18,2.009159447311743,1.4306782644606117,True
30,1.2,94.525655,Away_19,5.389985208158498,5.158479439718656,True
9,0.36,98.81083333333333,Away_16,0.7228016938305792,0.722204141846338,True
5,0.2,103.61883,Away_25,0.3946657320036582,0.3944167749982189,True
60,2.4,90.5726325,Away_23,3.147095982035753,2.549582199184803,True
10,0.4,81.1965,Away_22,0.3766850855226781,0.376376928623422,True
12,0.48,87.20101249999999,Away_17,0.679102643422332,0.677145147217334,True
6,0.24,96.207125,Away_16,1.167701146575724,1.167609435085215,True
76,3.04,52.40562434210526,Away_24,14.734869271723584,13.820403566090242,True
59,2.36,63.515425423728814,Away_20,6.630061116688423,4.822431863790303,True
49,1.96,64.80857142857143,Away_21,11.956849145486586,11.845478926729813,True
58,2.32,78.04997586206898,Away_19,4.019332146523387,1.01237300047956,True
52,2.08,87.37768846153845,Away_18,12.41594392267001,8.08424114584049,True
10,0.4,94.58620499999999,Away_15,3.447232621121378,3.1228512715305463,True
19,0.76,49.071473684210524,Away_19,2.6394228126911785,2.562052625220648,True
35,1.4,55.62288,Away_19,5.203409911822944,5.164613484327746,True
37,1.48,75.35773378378379,Away_18,6.180741655202772,5.856434143751659,True
30,1.2,97.36936999999999,Away_15,4.719547810351579,4.505975736685677,True
92,3.68,56.947765760869565,Away_21,23.71965796300616,22.6601776773352,True
12,0.48,65.9722,Away_20,1.35043307592599,1.3501837391999703,True
36,1.44,75.41473333333334,Away_17,4.8456536206860905,4.77384444924633,True
10,0.4,80.679795,Away_23,0.3719749261776808,0.37126670319325933,True
7,0.28,86.28,Away_18,0.36409203097154264,0.36382424328238255,True
3,0.12,88.95985,Away_19,0.178644425856513,0.17862046047415994,True
19,0.76,55.556715789473685,Away_16,4.826040734510972,4.818182627516313,True
52,2.08,79.7684798076923,Away_20,7.883883773166084,7.665434397142804,True
14,0.56,82.58197499999999,Away_21,2.091012765182806,2.0903260899917084,True
27,1.08,96.07103333333333,Away_15,3.530382682753775,3.463451186677818,True
25,1.0,97.155912,Away_20,1.6448682293092909,1.6413497594663058,True
99,3.96,97.54079999999999,Away_22,14.907648500200976,10.071452537946053,True
17,0.68,52.746132352941174,Away_24,0.7782466694137422,0.7773326547238314,True
9,0.36,54.254666666666665,Away_20,0.8141081132815192,0.8082499999999927,True
30,1.2,100.766365,Away_20,5.796770331712713,5.784629972228125,True
14,0.56,101.86725,Away_15,1.7267007163862775,1.7245416121683044,True
3,0.12,102.06734999999999,Away_22,0.29382236535946754,0.293573715444704,True
19,0.76,102.89021842105262,Away_16,2.8495931308548648,2.84869655500546,True
2,0.08,104.77844999999999,Away_25,0.1875333836947372,0.1875333836947372,True
30,1.2,48.627145000000006,Away_23,4.9372648891599,4.542724427312324,True
29,1.16,50.55264827586207,Away_21,2.179259154729674,2.1725590739954628,True
16,0.64,52.0926,Away_22,1.665710885318681,1.6610656869612412,True
18,0.72,68.29240833333333,Away_16,3.612886865690812,3.5966819313917733,True
4,0.16,63.659925,Away_20,0.30853475409533315,0.30852264892548986,True
1,0.04,68.06099999999999,Away_20,0.0,0.0,True
26,1.04,45.94190192307693,Away_21,6.558426351281877,6.556237938604727,True
72,2.88,62.44854583333333,Away_24,7.768066860571225,7.54264546037396,True
