policy,x,y,radius,episode,arrived,max_control
random,86.0,34.0,10.0,41,0,
random,86.0,34.0,12.0,41,0,
random,88.0,34.0,6.0,41,0,
random,88.0,34.0,8.0,41,0,
random,88.0,34.0,10.0,41,0,
random,88.0,34.0,12.0,41,0,
random,82.0,34.0,6.0,42,0,
random,82.0,34.0,8.0,42,0,
random,82.0,34.0,10.0,42,0,
random,82.0,34.0,12.0,42,0,
random,84.0,34.0,6.0,42,0,
random,84.0,34.0,8.0,42,0,
random,84.0,34.0,10.0,42,0,
random,84.0,34.0,12.0,42,0,
random,86.0,34.0,6.0,42,0,
random,86.0,34.0,8.0,42,0,
random,86.0,34.0,10.0,42,0,
random,86.0,34.0,12.0,42,0,
random,88.0,34.0,6.0,42,0,
random,88.0,34.0,8.0,42,0,
random,88.0,34.0,10.0,42,0,
random,88.0,34.0,12.0,42,0,
random,82.0,34.0,6.0,43,1,0.179349
random,82.0,34.0,8.0,43,1,0.188261
random,82.0,34.0,10.0,43,1,0.432562
random,82.0,34.0,12.0,43,1,0.475111
random,84.0,34.0,6.0,43,1,0.233888
random,84.0,34.0,8.0,43,1,0.218475
random,84.0,34.0,10.0,43,1,0.387645
random,84.0,34.0,12.0,43,1,0.421303
random,86.0,34.0,6.0,43,1,0.27995
random,86.0,34.0,8.0,43,1,0.25142
random,86.0,34.0,10.0,43,1,0.219921
random,86.0,34.0,12.0,43,1,0.369645
random,88.0,34.0,6.0,43,1,0.313283
random,88.0,34.0,8.0,43,1,0.28141
random,88.0,34.0,10.0,43,1,0.222631
random,88.0,34.0,12.0,43,1,0.337665
